# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1666059868.251372337341309,0.01422,0.00086,0.00152,0.00731,0.00860,0.00133,0.03384
1666059868.351373672485352,0.01161,0.00089,0.00190,0.00742,0.00211,0.00171,0.02565
1666059868.451373338699341,0.01323,0.00269,0.00142,0.00242,0.00010,0.00185,0.02171
1666059868.551373243331909,0.01015,0.00039,0.00164,0.00128,0.00072,0.00170,0.01588
1666059868.651371955871582,0.01334,0.00191,0.00242,0.00465,0.00168,0.00454,0.02853
1666059868.751375436782837,0.01019,0.00148,0.00272,0.00095,0.00044,0.00154,0.01731
1666059868.851374149322510,0.01353,0.00091,0.00300,0.00242,0.00382,0.00139,0.02508
1666059868.951373338699341,0.00932,0.00051,0.00082,0.00166,0.00668,0.00151,0.02049
1666059869.051376581192017,0.01464,0.00072,0.00534,0.00314,0.00236,0.00137,0.02758
1666059869.151378631591797,0.01204,0.00088,0.00172,0.00180,0.00100,0.00151,0.01896
1666059869.251373767852783,0.01133,0.00075,0.00191,0.00208,0.00128,0.00542,0.02277
1666059869.351366281509399,0.01064,0.00190,0.00225,0.00356,0.00746,0.00363,0.02944
1666059869.451366662979126,0.00463,0.00071,0.00319,0.00524,0.00197,0.00150,0.01725
1666059869.551366806030273,0.01344,0.00055,0.00195,0.00827,0.00014,0.00175,0.02610
1666059869.651365756988525,0.01198,0.00089,0.00266,0.00202,0.00206,0.00282,0.02243
1666059869.751364231109619,0.01060,0.00061,0.00240,0.00236,0.00386,0.00129,0.02113
1666059869.851362705230713,0.00310,0.00036,0.00071,0.00172,0.00000,0.00125,0.00715
1666059869.951369762420654,0.00871,0.00188,0.00156,0.00482,0.00081,0.00259,0.02037
1666059870.051370620727539,0.00535,0.00035,0.00267,0.00159,0.00118,0.00232,0.01346
1666059870.151369810104370,0.00524,0.00061,0.00377,0.00559,0.00000,0.00168,0.01689
1666059870.251368522644043,0.00562,0.00269,0.00363,0.00168,0.00305,0.00136,0.01804
1666059870.351375818252563,0.00949,0.00061,0.00134,0.00291,0.00587,0.00340,0.02363
1666059870.451374053955078,0.00961,0.00300,0.00332,0.00188,0.00098,0.00142,0.02021
1666059870.551373958587646,0.01108,0.00101,0.00286,0.00323,0.00001,0.00493,0.02313
1666059870.651373863220215,0.00748,0.00062,0.00186,0.00152,0.00551,0.00148,0.01846
1666059870.751372337341309,0.00963,0.00038,0.00069,0.00120,0.00091,0.00146,0.01427
1666059870.851372718811035,0.00597,0.00043,0.00010,0.00172,0.00006,0.00126,0.00953
1666059870.951373100280762,0.01311,0.00084,0.00024,0.00284,0.00393,0.00471,0.02566
1666059871.051371335983276,0.00667,0.00042,0.00083,0.00118,0.00379,0.00229,0.01518
1666059871.151373624801636,0.00621,0.00053,0.00037,0.00201,0.00593,0.00166,0.01671
