# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1664954592.952304363250732,0.00456,0.00072,0.00197,0.00338,0.00262,0.00220,0.01545
1664954593.052381992340088,0.00564,0.00042,0.00118,0.00395,0.00039,0.00282,0.01440
1664954593.152570486068726,0.00693,0.00035,0.00112,0.00235,0.00118,0.00210,0.01401
1664954593.252701520919800,0.00940,0.00034,0.00055,0.00424,0.00030,0.00317,0.01799
1664954593.352707147598267,0.00529,0.00056,0.00077,0.00307,0.00040,0.00281,0.01289
1664954593.452716112136841,0.00451,0.00044,0.00044,0.00406,0.00090,0.00348,0.01383
1664954593.552710771560669,0.00715,0.00036,0.00040,0.00254,0.00119,0.00224,0.01388
1664954593.652713537216187,0.00417,0.00033,0.00051,0.00247,0.00020,0.00372,0.01139
1664954593.752718925476074,0.00496,0.00039,0.00002,0.00259,0.00044,0.00250,0.01091
1664954593.852721452713013,0.00559,0.00073,0.00005,0.00435,0.00000,0.00288,0.01359
1664954593.952722311019897,0.00415,0.00033,0.00006,0.00258,0.00680,0.00259,0.01652
1664954594.052725315093994,0.00417,0.00036,0.00001,0.00345,0.00008,0.00236,0.01043
1664954594.152723550796509,0.00507,0.00036,0.00043,0.00326,0.00594,0.00220,0.01725
1664954594.252723932266235,0.00640,0.00042,0.00134,0.00572,0.00066,0.00218,0.01673
1664954594.352723360061646,0.00462,0.00071,0.00630,0.00474,0.00312,0.00218,0.02168
1664954594.452723979949951,0.00580,0.00049,0.00085,0.00706,0.00000,0.00250,0.01670
1664954594.552723884582520,0.00409,0.00043,0.00089,0.00756,0.00034,0.00252,0.01582
1664954594.652727365493774,0.00484,0.00038,0.00382,0.00597,0.00551,0.00276,0.02328
1664954594.752729415893555,0.00395,0.00036,0.00011,0.00594,0.00010,0.00453,0.01500
1664954594.852727413177490,0.00655,0.00046,0.00014,0.00531,0.00021,0.00347,0.01614
1664954594.952728271484375,0.00557,0.00039,0.00025,0.00437,0.00132,0.00220,0.01411
1664954595.052727460861206,0.00790,0.00063,0.00015,0.00453,0.00000,0.00238,0.01559
1664954595.152729988098145,0.00558,0.00038,0.00040,0.00358,0.00057,0.00354,0.01405
1664954595.252730131149292,0.00406,0.00038,0.00074,0.00379,0.00013,0.00338,0.01247
1664954595.352723836898804,0.00418,0.00034,0.00072,0.00268,0.00019,0.00251,0.01062
1664954595.452716827392578,0.00738,0.00036,0.00064,0.00277,0.00173,0.00242,0.01529
1664954595.552721023559570,0.00434,0.00035,0.00039,0.00271,0.00457,0.00225,0.01462
1664954595.652716875076294,0.00405,0.00034,0.00082,0.00235,0.00017,0.00312,0.01085
1664954595.752736091613770,0.00493,0.00038,0.00013,0.00239,0.00021,0.00260,0.01064
1664954595.852721691131592,0.00863,0.00035,0.00102,0.00214,0.00161,0.00231,0.01606
1664954595.952728271484375,0.00597,0.00035,0.00093,0.00226,0.00600,0.00226,0.01776
1664954596.052731752395630,0.00605,0.00043,0.00055,0.00309,0.00027,0.00353,0.01394
1664954596.152726888656616,0.00612,0.00034,0.00033,0.00320,0.00024,0.00280,0.01304
1664954596.252746105194092,0.00416,0.00033,0.00071,0.00199,0.00000,0.00230,0.00950
1664954596.352741479873657,0.00668,0.00059,0.00049,0.00198,0.00024,0.00318,0.01315
1664954596.452752590179443,0.00645,0.00033,0.00043,0.00252,0.00009,0.00296,0.01279
1664954596.552738666534424,0.00459,0.00049,0.00073,0.00175,0.00220,0.00243,0.01218
1664954596.652737140655518,0.00582,0.00034,0.00030,0.00252,0.00073,0.00262,0.01234
